ptf_id,lat,lon,Variable_id,Variable_nameShort,Variable_firstMeasured,Variable_lastMeasured,time_delta,Variable_name,Variable_canonicalUnit,Variable_description
1006516.0,13.675,113.715,2396.0,SST,2015-10-13T10:01:00,2015-12-09T23:01:00,57.54166666666666,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006517.0,15.0933,114.99,2396.0,SST,2015-10-13T10:01:00,2015-12-09T23:01:00,57.54166666666666,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1006518.0,15.9,115.7183,2396.0,SST,2015-10-13T10:01:00,2015-12-09T23:01:00,57.54166666666666,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
508716.0,21.89,119.32,2396.0,SST,2014-01-01T00:00:00,2014-05-31T23:00:00,150.95833333333334,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1005076.0,21.711,119.745,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026491.0,15.2,114.69,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026498.0,16.96,114.44,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026501.0,21.13,118.68,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026505.0,8.65,109.49,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026507.0,11.97,112.35,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026475.0,8.25,108.76,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026511.0,13.45,111.94,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026480.0,12.1,111.17,2396.0,SST,2012-08-02T15:40:02,2014-06-21T16:07:22,688.0189814814814,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1026486.0,12.09,111.16,2396.0,SST,2016-03-05T11:00:00,2016-04-04T18:00:00,30.291666666666668,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019527.0,8.0133,109.0367,2396.0,SST,2016-03-05T11:00:00,2016-04-04T18:00:00,30.291666666666668,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018073.0,21.7817,119.5467,2396.0,SST,2016-03-05T11:00:00,2016-04-04T18:00:00,30.291666666666668,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018126.0,14.73,114.63,2396.0,SST,2015-12-02T00:05:00,2016-01-08T21:01:00,37.87222222222222,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018131.0,11.11,109.38,2396.0,SST,2015-12-02T00:05:00,2016-01-08T21:01:00,37.87222222222222,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018132.0,8.6167,107.5167,2396.0,SST,2015-12-02T00:05:00,2016-01-08T21:01:00,37.87222222222222,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018855.0,17.43,119.62,2396.0,SST,2015-12-02T00:05:00,2016-01-08T21:01:00,37.87222222222222,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018895.0,21.7817,119.5467,2396.0,SST,2015-12-02T00:05:00,2016-01-08T21:01:00,37.87222222222222,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018905.0,16.7567,116.51,2396.0,SST,2015-12-02T00:05:00,2016-01-08T21:01:00,37.87222222222222,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018939.0,12.11,115.01,2396.0,SST,2015-09-22T06:00:00,2016-05-26T20:01:00,247.58402777777775,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019712.0,7.92,108.98,2396.0,SST,2015-09-22T06:00:00,2016-05-26T20:01:00,247.58402777777775,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1017508.0,11.1,111.08,2396.0,SST,2015-09-22T06:00:00,2016-05-26T20:01:00,247.58402777777775,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019788.0,20.0283,118.7967,2396.0,SST,2015-09-22T06:00:00,2016-05-26T20:01:00,247.58402777777775,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1017549.0,13.54,118.16,2396.0,SST,2015-09-22T06:00:00,2016-05-26T20:01:00,247.58402777777775,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019813.0,9.9933,110.7867,2396.0,SST,2015-12-01T23:46:00,2015-12-11T08:00:00,9.343055555555557,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019834.0,13.205,117.6517,2396.0,SST,2015-12-01T23:46:00,2015-12-11T08:00:00,9.343055555555557,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1017632.0,19.55,119.74,2396.0,SST,2015-09-22T02:54:00,2016-04-12T14:01:00,203.46319444444444,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1018350.0,13.5533,117.7333,2396.0,SST,2015-09-22T02:54:00,2016-04-12T14:01:00,203.46319444444444,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019067.0,18.36,119.68,2396.0,SST,2015-12-02T18:46:00,2015-12-11T13:00:00,8.759722222222223,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019112.0,10.41,111.14,2396.0,SST,2015-12-02T18:46:00,2015-12-11T13:00:00,8.759722222222223,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019909.0,18.8417,118.1367,2396.0,SST,2015-12-02T18:46:00,2015-12-11T13:00:00,8.759722222222223,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
1019917.0,17.89,114.33,2396.0,SST,2015-12-02T18:46:00,2015-12-11T13:00:00,8.759722222222223,Sea surface temperature,K,"Temperature of the sea water at surface. The 'bulk' temperature refers to the depth of typically 2 m, the 'skin' temperature refers to within the upper 1 mm."
